,0
0,-4059.171316711465
1,1932.15743831289
2,759.6438969180454
3,782.8734899959527
4,4755.702074712608
5,415.23488784511574
6,4783.322444784455
7,-104.79139720858075
8,-1072.4616413565818
9,2403.187684603734
10,-2869.686177139869
11,-1348.7838039353956
12,-3890.1579101043753
13,2699.161156170303
14,18589.920229344396
15,9549.854720816715
16,-1122.3899831578601
17,251.9869348150678
18,703.4206484593451
19,391.4104079352692
20,52.571240599267185
21,975.7952723505441
22,3.5650879798922688
23,-1183.215407107491
24,-1271.63745112787
25,-5390.511738563189
26,-698.1228385628201
27,4575.803334635682
28,1007.6622883342206
29,146.03493337961845
30,-10298.628262005048
31,-3999.305495695211
32,418.81879136152565
33,8231.34593116655
34,-4368.586301592644
35,-1126.7976363666821
36,242.46465115365572
37,-1416.4994568265975
38,2052.753083569696
39,818.7589959437028
40,4253.454849990085
41,1872.4780127236154
42,-14562.292360900203
43,2953.875605585752
44,-859.5997483567335
45,3664.6363014059607
46,17134.668368008686
47,6661.471256965771
48,2384.0623335207347
49,3030.9739332115278
50,5702.031004513381
51,6727.330999216763
52,1129.0737613569945
53,2064.530497592641
54,-2379.7164533780888
55,-995.2497958464082
56,-2420.4492827856448
57,-392.05029886588454
58,1594.0962798018008
59,1157.9533474755008
60,1941.6747879558243
61,9312.583524091635
