,0
0,-195.69172630133107
1,-4721.004282830283
2,-9765.247115739272
3,-5645.004199097748
4,3010.0834578190697
5,5273.631881146226
6,-22173.44635774882
7,12940.469913351
8,-22898.95222644997
9,969.8971695390064
10,-15167.567094860948
11,6469.266349324607
12,10962.366495178314
13,-12745.335966198589
14,14423.451015295344
15,-20482.229461138835
16,5953.073550250963
17,21771.963698916254
18,985.2042018520879
19,-18060.096236253856
20,14599.6075760175
21,6471.012362128706
22,-13560.178609509952
23,-10305.783424777095
24,-1891.0548327784054
25,-9349.23115862906
26,-17341.359460824053
27,13820.34232747578
28,19247.30444452446
29,19008.488094351487
30,-5148.799595272983
31,-3854.748866484617
32,15452.576886211522
33,-13973.46100168
34,2040.1297859925544
35,9225.628556134528
36,1509.8037054319866
37,-1145.5332354428247
38,24791.129639387247
39,1742.249210077338
40,9689.18691355444
41,9678.322063244646
42,7264.078974814969
43,-10426.707306295284
44,2900.694204558502
45,-607.456342787249
46,13394.622413386125
47,4002.918635856011
48,4844.618412863696
49,11603.440660047461
50,10884.261085157748
51,10238.786100226454
52,3252.6025490360335
53,-2155.0167006158736
54,-11153.853064938914
55,-412.6668813477736
56,-3574.991199926706
57,10269.061003460782
58,1992.3745794652496
59,-2549.8814511904493
60,2837.7968685284723
61,-1711.398609117372
