,0
0,-4261.890488019213
1,4216.918115105713
2,-1320.105401930632
3,-3071.3949495145353
4,5722.554203234846
5,-11630.009964736295
6,-204.74954863858875
7,-3127.2485841808375
8,2968.4960849365452
9,-2646.4285619105212
10,-923.3474803668214
11,3767.089076991775
12,1042.178656652919
13,-2448.589317764039
14,5292.169975036872
15,-2247.3787659889786
16,3460.7005748195807
17,-172.17646829842124
18,-2480.120011795312
19,-556.0651747810189
20,-7813.740072280401
21,-5922.5424686275655
22,-1183.2527669138508
23,-1599.3430515507935
24,20533.127711727866
25,1070.0671588837868
26,16929.421672133845
27,18106.206094443332
28,7235.955686792266
29,813.3491375925951
30,1057.5926287723705
31,-2477.508296575863
32,117.09260789700784
33,-1779.6376416808926
34,7483.121750319842
35,4239.831586266169
36,4125.698386652395
37,3453.955476930132
38,-1112.1178959691897
39,-766.0384986656718
40,1769.7545442325063
41,358.22632995131426
42,-3626.03552608029
43,1961.3228884229902
44,4062.2992748278193
45,20839.266023797914
46,5496.674784114584
47,5497.240160722751
48,-3834.8029311257415
49,7713.236329472158
50,-5017.262597098481
51,3083.983790594386
52,-4819.276336959796
53,2278.921436497476
54,5294.996918636607
55,-934.2733212548774
56,-3016.687768814387
57,545.211304826662
58,1464.4883284366224
59,-7843.109864392318
60,-696.2753972946666
61,-2617.1481573514175
