,0
0,1668.8083366104402
1,10959.0693692395
2,-1447.9568838898558
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,-1899.8756365187
51,635.3663713715505
52,-123.15167979197577
53,-9206.46783086774
54,-8299.383163888706
55,13722.263950034045
56,-6962.153017283184
57,-1687.8106824627612
58,5228.299627827248
59,-9129.861759525724
60,8063.287313518347
61,5994.268494786229
