,0
0,-396.15681960701477
1,-2569.7958251097007
2,-5557.39874388813
3,-2869.8856593468226
4,1043.2511805244721
5,2401.0169526564423
6,-7913.999369249446
7,4579.038487272919
8,-10985.309700373211
9,1574.8348500268767
10,-6803.439280903549
11,3189.7973987925798
12,6347.275850134087
13,-7706.206697328715
14,8681.912787135341
15,-9471.002667222405
16,3063.83074784209
17,14828.698368805926
18,-229.8603628538549
19,-12940.071625095792
20,8322.106722648372
21,3271.634087311919
22,-11442.177023005439
23,-9730.883698614547
24,768.3100846239831
25,-6221.110994575894
26,-17552.67075879639
27,17761.459257484647
28,15793.748105172184
29,16573.460173751344
30,-4532.784437800292
31,-2445.703807002865
32,12486.149620839278
33,-11106.50986934302
34,2825.6680417555617
35,9065.243441952858
36,-2236.232336549321
37,-6178.3816847853595
38,21834.220444876933
39,973.966135020135
40,5142.453577629407
41,2387.327062573633
42,6079.413751421613
43,-6411.707046201802
44,5041.493790529901
45,-18.019508827477694
46,12244.319588309387
47,587.2877984382212
48,434.4315097469371
49,5001.97217809048
50,7933.808509582654
51,6453.549330163514
52,-120.16135418089107
53,-3267.1806921858806
54,-5815.292999561643
55,1675.1067141420208
56,389.10199996992014
57,4655.586027543293
58,1831.048679380212
59,-2205.511474643834
60,4959.325621370226
61,-2590.795841057552
